"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"FAM13A",1.94808262860394e-12,-0.913038457668939,0.252,0.506,5.06423560131879e-08
"CTSB",2.05281004867151e-12,-0.854682747360906,0.576,0.833,5.33648500252646e-08
"BRIP1",2.18921987699517e-12,1.35682575101599,0.31,0.046,5.69109599223665e-08
"MELK",2.21354069785635e-12,1.09664109815133,0.247,0.006,5.75432039814736e-08
"BRCA2",3.11990337396826e-12,1.20649851050483,0.32,0.057,8.1105008109679e-08
"PTPRJ",3.53488704991327e-12,0.647492089165914,0.927,0.897,9.18929237495455e-08
"SIPA1L2",4.13788737796816e-12,-0.953991715237241,0.439,0.655,1.0756852027766e-07
"TLR5",5.41355440262731e-12,-0.800111950546002,0.088,0.305,1.407307602507e-07
"SMC4",5.62636086890775e-12,1.38155595437907,0.361,0.092,1.46262877148126e-07
"SLC11A1",5.79727913874035e-12,0.984431638587888,0.731,0.506,1.50706068490694e-07
"CENPK",6.01718376035663e-12,1.01826264562676,0.269,0.023,1.56422709034231e-07
"GNA13",7.02385648298511e-12,-1.2347421808892,0.256,0.517,1.82592173131681e-07
"DTL",7.25657698746012e-12,1.10806981136413,0.228,0,1.88641975366013e-07
"CLSPN",7.95144701343038e-12,1.00134550141582,0.269,0.023,2.06705816561136e-07
"NCKAP5",1.06863045774144e-11,-0.560654838393503,0.465,0.747,2.77801173794466e-07
"MED13L",1.33028555815408e-11,-0.726900971453127,0.708,0.879,3.45821033697735e-07
"ENOSF1",1.34831853427331e-11,0.955768838128105,0.351,0.08,3.50508886169691e-07
"LINC01572",1.52036150897534e-11,1.2006497170928,0.299,0.046,3.95233177873229e-07
"TNS3",1.59857700633394e-11,0.799114297028102,0.815,0.73,4.15566078566571e-07
"GOLGA8A",1.67895818110227e-11,0.883394781127032,0.355,0.086,4.36461968759346e-07
"KNL1",1.73455925785746e-11,1.16755887992108,0.239,0.011,4.50916024672625e-07
"MIB1",1.83523601350545e-11,-0.859462540629035,0.441,0.661,4.77087954070878e-07
"EZH2",2.02582934917762e-11,1.05624417550998,0.34,0.075,5.26634597612215e-07
"HDAC9",2.11634817311107e-11,-0.801284865476301,0.656,0.839,5.50165871081954e-07
"HERC4",2.13798507049146e-11,-0.878860076180059,0.505,0.701,5.55790598924959e-07
"NCAPG2",2.2683747125055e-11,1.20452212354447,0.275,0.034,5.89686690262931e-07
"ADGRG1",2.60381029196284e-11,-0.75335596218427,0.172,0.42,6.7688652349866e-07
"IGSF21",2.78754053355143e-11,-0.737417360319458,0.419,0.695,7.24649037102031e-07
"PADI2",3.70043872348567e-11,-2.62742545049019,0.157,0.385,9.61966050557336e-07
"LINGO1",3.72457646133588e-11,0.71441011658063,0.985,0.943,9.68240896888876e-07
"TGFBI",3.94014415645985e-11,1.07421019482638,0.232,0.011,1.0242798749133e-06
"RANBP2",4.19242072576689e-11,-1.59234341195624,0.342,0.58,1.08986169187036e-06
"SRGAP2",4.5101291355434e-11,-0.612864752406963,0.817,0.925,1.17245317007586e-06
"DSCAM",5.75640186484538e-11,-0.968306132392358,0.368,0.626,1.4964342287852e-06
"DIAPH3",6.9823988462745e-11,1.30514301498914,0.252,0.029,1.81514440407752e-06
"KDM6B",8.64176202751054e-11,-0.856463944884799,0.045,0.207,2.24651245667164e-06
"DPYD",9.69431012110571e-11,0.837649867617242,0.462,0.178,2.52013285908264e-06
"CCDC26",1.16121915238067e-10,-1.51414391542872,0.389,0.586,3.0187053085288e-06
"ENG",1.33259970095962e-10,1.02400360673007,0.452,0.195,3.46422618261463e-06
"B3GNT5",1.38824262781406e-10,-0.992397793049399,0.211,0.46,3.60887553526543e-06
"STAB1",1.49726344583905e-10,0.865153597459591,0.71,0.534,3.89228605380319e-06
