"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AC008415.1",0.101962967494027,-0.468946852882751,0.269,0.321,1
"PCDH15",0.103133842019391,-0.483513414857383,0.263,0.302,1
"PNPLA7",0.104604327214969,0.392590289718424,0.482,0.504,1
"KLC1",0.105832721016063,0.340040691598407,0.374,0.346,1
"TERF2IP",0.106701921882208,0.25893820758244,0.56,0.553,1
"CDC14B",0.108962770107483,0.456572350416548,0.596,0.617,1
"SIK2",0.109058279636017,0.354089126476252,0.683,0.704,1
"EIF5B",0.11357671632019,0.338306614471097,0.515,0.543,1
"RCOR1",0.113727174838822,0.358657302823905,0.362,0.356,1
"PARVB",0.114256172634683,0.261239104286787,0.386,0.377,1
"GFOD2",0.114343725473522,0.285946000861921,0.317,0.305,1
"SPOP",0.114640542697613,0.264951906375629,0.512,0.516,1
"GRIA3",0.11466554420778,0.26092627496184,0.79,0.767,1
"MAP2K1",0.115963152521001,0.318005475387508,0.494,0.502,1
"HIPK2",0.116539133531971,0.307575057435718,0.434,0.434,1
"SULT4A1",0.120795343147474,0.306292672524716,0.398,0.395,1
"ANKLE2",0.121291195667501,0.262020402769085,0.314,0.29,1
"ATG16L1",0.123981907344511,0.254544821591284,0.29,0.272,1
"AACS",0.126030503820068,0.307045430061781,0.539,0.607,1
"GRM4",0.128190609915081,0.510594636976489,0.308,0.288,1
"GSTA4",0.130442580521575,0.285645408691121,0.413,0.416,1
"NDUFAF7",0.136937585343596,0.250768659424829,0.356,0.344,1
"SPECC1",0.136970837422281,0.308219916041474,0.659,0.7,1
"ARPC2",0.137502649590633,0.279725766323985,0.404,0.405,1
"SEC63",0.139057228792483,0.253202305742,0.509,0.521,1
"CPNE5",0.139400190772587,0.298317753707031,0.494,0.547,1
"ASPSCR1",0.14346346497507,0.258001597970405,0.228,0.202,1
"TBC1D8",0.145083511662461,0.315123337354873,0.539,0.566,1
"SLC17A5",0.145196727729249,0.275577150408109,0.422,0.426,1
"IQCE",0.151208056251001,0.263812096368513,0.341,0.327,1
"SORCS3",0.152351085545342,0.58840366551438,0.536,0.586,1
"CRTAC1",0.152831633323079,0.350405229413021,0.359,0.34,1
"RLF",0.153083722209115,0.267534767391869,0.647,0.66,1
"JPX",0.155709284307587,0.254296938607863,0.56,0.591,1
"ATF7IP2",0.156699553783468,0.27056357425147,0.485,0.516,1
"GRIK3",0.162047149254876,0.362523014844392,0.383,0.358,1
