"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"IKZF2",3.28744553644364e-15,-0.352870887442946,0.221,0.393,8.54604341653888e-11
"ZNF280D",3.55925074970728e-15,-0.37041260342166,0.282,0.465,9.25262824893906e-11
"ZHX2",4.26937701296005e-15,-0.354164814882635,0.566,0.74,1.10986724828909e-10
"MEGF10",4.29346152312819e-15,-0.327270229831143,0.527,0.723,1.1161282575524e-10
"SNX19",4.54864268402936e-15,-0.264284003405806,0.269,0.466,1.18246515214027e-10
"PHF14",4.67115263269885e-15,-0.375979270552919,0.301,0.488,1.21431283839639e-10
"FSTL5",4.91123955653926e-15,0.861722097982875,0.15,0.043,1.27672583511795e-10
"PALM2-AKAP2",5.07155060096133e-15,-0.354245712554291,0.255,0.441,1.31840029422591e-10
"CRB1",5.46880436944097e-15,-0.331102731774549,0.093,0.213,1.42167038387988e-10
"AL445250.1",5.72359841809941e-15,-0.483296080306745,0.088,0.202,1.48790664476912e-10
"FIGN",5.95463505806163e-15,-0.550172528126341,0.416,0.576,1.5479669296937e-10
"THUMPD3-AS1",5.99076703146494e-15,-0.31166077142282,0.176,0.331,1.55735979749963e-10
"AK3",6.09571908078151e-15,-0.273392452410283,0.2,0.369,1.58464313223996e-10
"ANKAR",6.25258394099209e-15,-0.303245902995194,0.146,0.291,1.6254217213003e-10
"EPHB2",6.30142426577873e-15,0.635091862135404,0.199,0.079,1.63811825213184e-10
"SIK3",6.51863914472966e-15,0.292933888363486,0.991,0.991,1.69458543206392e-10
"AF241726.2",6.92183978795095e-15,-0.386338309738551,0.11,0.234,1.79940147127573e-10
"CHURC1-FNTB",7.80792229408134e-15,-0.256572603826447,0.054,0.151,2.02974747956939e-10
"SERINC1",8.15337701021528e-15,-0.264673773469348,0.118,0.254,2.11955188757556e-10
"MDGA2",9.42767042284924e-15,-0.501679870998579,0.173,0.313,2.45081720312389e-10
"FGFR2",9.44238373380767e-15,-0.319922166309094,0.54,0.738,2.45464207544064e-10
"B3GAT1",9.76304565249947e-15,-0.301912184480723,0.278,0.476,2.53800134782376e-10
"STXBP5",9.77915136964848e-15,-0.361385295702553,0.255,0.428,2.54218819005382e-10
"PTPN13",9.80649549199359e-15,0.549040757299249,0.664,0.613,2.54929656809865e-10
"U2SURP",9.89763345755661e-15,-0.31385430953929,0.299,0.495,2.57298879362642e-10
