"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PSD2",1.47904824576474e-12,-0.459896574873192,0.105,0.305,3.84493381969001e-08
"NES",1.48568735472631e-12,0.628525996840219,0.21,0.061,3.86219284734651e-08
"MKLN1",1.59100094345973e-12,-0.50976568744359,0.679,0.83,4.13596605261792e-08
"PITPNC1",1.68216302689065e-12,0.806355860312654,0.881,0.804,4.37295100470493e-08
"CCDC88A",1.68726286299823e-12,-0.483124128345928,0.744,0.908,4.3862085386502e-08
"BASP1-AS1",1.88772552545186e-12,-0.697359891676094,0.111,0.303,4.90733127596465e-08
"MT-ND4",1.92277308946256e-12,-0.422379035359619,0.633,0.879,4.99844092336688e-08
"ABCC8",1.96947109839152e-12,-0.57084980405002,0.162,0.369,5.11983706737858e-08
"VCL",2.00949588694641e-12,0.814040156610033,0.337,0.154,5.22388550770588e-08
"CA8",2.06036113793721e-12,-0.570019809642238,0.221,0.451,5.35611481418158e-08
"LINC01748",2.2567174682782e-12,-0.58532767920482,0.051,0.222,5.86656273053601e-08
"PRRC2B",2.38911572852855e-12,0.697500254907847,0.606,0.428,6.21074524788281e-08
"CD63",2.44415113735755e-12,0.626116410017696,0.189,0.05,6.35381529667468e-08
"AC007563.2",2.51787743363231e-12,-0.670253702310741,0.067,0.248,6.54547417647056e-08
"ADRA1A",2.75505765138492e-12,-0.48090431261584,0.237,0.49,7.16204787054025e-08
"MT-ATP8",2.78891872861454e-12,-0.587346693994874,0.132,0.345,7.25007312690636e-08
"R3HDM2",2.88520719806497e-12,0.684189108668564,0.636,0.473,7.5003846320897e-08
"DPYSL5",2.98432626424485e-12,0.687624576751275,0.27,0.104,7.75805455653092e-08
"AKAP12",2.99767644930735e-12,1.42221272449844,0.617,0.48,7.79275969761939e-08
"PLEKHG1",3.12107380317644e-12,0.601950565845615,0.232,0.075,8.11354345873748e-08
"LRRK2",3.22634926782725e-12,-0.48206820269983,0.423,0.678,8.38721755664372e-08
"RNF150",3.83000328378977e-12,-0.555358236728477,0.447,0.655,9.9564765365399e-08
"SEPT9",3.88635978372728e-12,0.696795401453529,0.235,0.08,1.01029808937774e-07
"PDE7B",4.13847092488111e-12,-0.538579846550856,0.394,0.626,1.07583690163209e-07
"SYNE1",4.33102466114007e-12,-0.5313375318837,0.534,0.769,1.12589317090997e-07
"UNC5C",4.57533495033026e-12,-0.549317430442959,0.458,0.697,1.18940407368785e-07
"TRPS1",4.85285057916741e-12,-0.578211585865177,0.445,0.653,1.26154703656036e-07
"FAM66D",5.04150541252171e-12,-0.506632464153427,0.302,0.546,1.31058974703914e-07
"ADCY1",5.19138850081886e-12,-0.562256822363658,0.148,0.354,1.34955335467287e-07
"SLC24A2",5.79853321467726e-12,0.611651006387183,0.725,0.605,1.5073866944875e-07
"SNHG25",6.98204811779463e-12,0.409905130960756,0.121,0.016,1.81505322870189e-07
"HYDIN",7.52670905116862e-12,-0.498409385758793,0.399,0.643,1.95664328494179e-07
"TAPT1-AS1",8.19408672432417e-12,-0.637539539987399,0.35,0.57,2.13013478485531e-07
"AFF3",8.61940586367398e-12,-0.549154636652417,0.345,0.572,2.24070074832069e-07
"ARNT2",9.13785287244559e-12,-0.500119285050507,0.561,0.761,2.37547623272096e-07
"CEP126",9.20257139652376e-12,-0.567551613504364,0.162,0.371,2.39230046024032e-07
"NCOA2",9.87675380959102e-12,-0.520524242679462,0.453,0.666,2.56756092034128e-07
"HAS2",9.91882170277486e-12,0.962387325094221,0.342,0.163,2.57849688985335e-07
"HSP90AA1",1.01902918014899e-11,-0.885981173728076,0.437,0.617,2.64906825671533e-07
"HIP1R",1.02146622374454e-11,-0.603173056694188,0.388,0.605,2.65540359524631e-07
"ZCCHC24",1.08510819376449e-11,-0.432976560413729,0.364,0.634,2.82084726051018e-07
"PID1",1.09409054040498e-11,-0.491960854540916,0.658,0.802,2.84419776883678e-07
"HIBCH",1.12627132042812e-11,-0.580599924804797,0.426,0.627,2.92785492458495e-07
"BBS9",1.17473618161563e-11,-0.550126697937992,0.337,0.562,3.053844177728e-07
"AGAP1",1.17934411698652e-11,0.479633246665421,0.992,0.988,3.06582296651816e-07
"NME9",1.20022411289687e-11,-0.630724351656256,0.143,0.336,3.12010260388671e-07
"EPHB1",1.24735760565986e-11,-0.731529231003666,0.248,0.451,3.24263083167336e-07
"GADD45A",1.31719541083151e-11,0.511612842780213,0.154,0.033,3.4241811899976e-07
"EPB41L4A",1.33143356610271e-11,-0.58271055858493,0.283,0.494,3.46119469844061e-07
"FP236383.1",1.46564789033204e-11,1.62512357789602,0.52,0.376,3.81009825570717e-07
"TIMP1",1.50760329180972e-11,0.419636744008266,0.119,0.016,3.91916551738855e-07
"C3orf70",1.5093107116187e-11,-0.6215665366413,0.243,0.454,3.92360412592396e-07
"WWP2",1.58848434364735e-11,-0.560027780501513,0.399,0.601,4.12942389974565e-07
"PHACTR3",1.61875965369982e-11,-0.575250549195235,0.504,0.698,4.20812759575806e-07
"LRP2BP",1.70930904250702e-11,-0.540054820807225,0.143,0.34,4.44351978690124e-07
"GNB1",2.06820324800837e-11,0.772404174973496,0.639,0.525,5.37650116352255e-07
"TEK",2.13887264063733e-11,-0.531142973155606,0.202,0.412,5.56021331660082e-07
"SCLT1",2.15887969815291e-11,-0.770757905064258,0.253,0.442,5.6122236633183e-07
"AC091948.1",2.16937841260284e-11,-0.646618850920036,0.154,0.338,5.63951612140235e-07
"SYT14",2.19379064355004e-11,-0.574851360022603,0.296,0.511,5.70297815697267e-07
"PEAK1",2.2026926082238e-11,-0.476728157636146,0.712,0.873,5.7261197043386e-07
"RUNX1T1",2.2520634792629e-11,-0.640520602609269,0.364,0.57,5.85446422069184e-07
"TMEM65",2.30392319584566e-11,-0.47601505266959,0.073,0.241,5.98927873992039e-07
"DAP3",2.31324425359164e-11,0.721049563871064,0.364,0.191,6.01350976163683e-07
"ARL4C",2.37125915876336e-11,0.68118252800971,0.272,0.113,6.16432530912123e-07
"SCN2A",2.38199122563412e-11,-0.51614721398379,0.383,0.6,6.19222439015847e-07
"KCNAB1",2.73027144773457e-11,-0.43270777356671,0.453,0.674,7.09761365553078e-07
"TMEM163",2.77523561722371e-11,-0.680602714475529,0.42,0.614,7.21450251053476e-07
"GHR",2.89086260114195e-11,-0.627239739682032,0.186,0.381,7.51508641792862e-07
"NCOA1",3.13607059343728e-11,-0.407205475020196,0.779,0.889,8.15252911469956e-07
"BCAS2",3.20981861491605e-11,-1.0618117520657,0.065,0.225,8.34424447133577e-07
"PIP5K1B",3.28022710180071e-11,-0.668506101158723,0.116,0.296,8.52727837384112e-07
"CABLES1",3.39113473885888e-11,-0.632677071836942,0.283,0.504,8.81559386713754e-07
"DPH6-DT",3.39578803478985e-11,-0.666622155945592,0.111,0.284,8.8276905752397e-07
"WARS",3.40765072523122e-11,0.566748899741903,0.186,0.054,8.85852882531107e-07
"BAZ2B",3.57377962316308e-11,-0.413096335625017,0.58,0.756,9.29039750837474e-07
"NAV1",3.65899060067511e-11,-0.462222013524239,0.73,0.865,9.51191196551501e-07
"LMCD1-AS1",4.13333785619377e-11,-0.693820448815827,0.429,0.626,1.07450250909613e-06
"ATRNL1",4.18483529866062e-11,-0.506281289473711,0.879,0.974,1.08788978423981e-06
"HS3ST5",4.39708160563102e-11,0.69574319090603,0.129,0.023,1.14306533419984e-06
"LDB2",4.9469406550389e-11,-0.638514902206234,0.124,0.305,1.28600669268391e-06
"ISPD",5.15279432767291e-11,-0.630757170164717,0.146,0.336,1.33952041342185e-06
"EYA2",5.15347048767578e-11,-0.538545507420359,0.186,0.385,1.33969618797619e-06
"PHF14",5.70469707065562e-11,-0.548277947578811,0.501,0.683,1.48299305048764e-06
"USP43",6.14631470250166e-11,-0.42864785659895,0.113,0.302,1.59779597006233e-06
"GSG1L",7.06639448033802e-11,-0.512320066363909,0.42,0.633,1.83697990910867e-06
"INPP4B",7.16480172772849e-11,-0.742409398467124,0.173,0.348,1.8625618571403e-06
"SVIP",7.31226513023878e-11,0.582677703041809,0.137,0.028,1.90089644325687e-06
"TIAM2",7.37465490588617e-11,0.703560309426841,0.609,0.459,1.91711528933417e-06
"KIZ",7.54985947259937e-11,-0.509150528866611,0.369,0.575,1.96266146849693e-06
"ADAMTS17",8.9007344000949e-11,-0.617385556133345,0.485,0.678,2.31383491464867e-06
"SOX6",9.13699474126617e-11,-0.364707310459873,0.865,0.965,2.37525315293955e-06
"CALR",9.68345033663926e-11,0.405390769883044,0.14,0.029,2.51730974951274e-06
"MIRLET7BHG",9.78803852457115e-11,0.87415420123893,0.439,0.288,2.54449849484752e-06
"ANXA5",9.8040340266536e-11,0.737821897517396,0.267,0.116,2.54865668556887e-06
"PABPC4",9.84472776610682e-11,0.714104842570929,0.259,0.109,2.55923543007713e-06
"CAMK4",1.01305629604972e-10,-0.621418364624269,0.175,0.364,2.63354114721086e-06
"MCRIP1",1.04932562519316e-10,0.5808876608119,0.173,0.049,2.72782689525215e-06
"SLC25A37",1.14539675944907e-10,0.630244413954804,0.332,0.165,2.97757341586381e-06
"FSIP2",1.1603661813411e-10,0.544270010140433,0.146,0.033,3.01648792501433e-06
"AXL",1.17905025906142e-10,0.675401931067772,0.275,0.118,3.06505905345607e-06
"ABR",1.19087398712679e-10,0.693281241595437,0.566,0.418,3.09579601693481e-06
"PTPRM",1.20514987874222e-10,-0.551352909908102,0.437,0.615,3.13290762477827e-06
"KCTD16",1.23303707871566e-10,-0.63185825006174,0.342,0.548,3.20540318982922e-06
"NKTR",1.23552161073882e-10,-0.55450357574885,0.523,0.719,3.21186197927665e-06
"PDGFRA",1.28652799881851e-10,-0.595516209396322,0.143,0.319,3.34445818572861e-06
"DHFR",1.65236916579244e-10,-0.526771683544112,0.369,0.617,4.29549888339403e-06
"MACF1",1.7003953332958e-10,0.407535574339801,0.957,0.969,4.42034770843577e-06
"MAP2K6",1.84702636027831e-10,-0.413568588068729,0.035,0.173,4.80152972617949e-06
"ASXL1",1.94044668993154e-10,0.752852370955629,0.518,0.366,5.04438521514603e-06
"AC087564.1",1.95507281500442e-10,-0.644859242537454,0.089,0.256,5.08240728988549e-06
"KIAA1217",2.01607577303709e-10,-0.45306850806731,0.588,0.759,5.24099057958723e-06
"ASPH",2.14053650755927e-10,-0.485216076960951,0.313,0.527,5.56453870505108e-06
"PLCG2",2.19474376293868e-10,3.17098317895926,0.464,0.352,5.70545588613538e-06
"TOX",2.27204693534649e-10,-0.528684314326184,0.59,0.766,5.90641321312675e-06
"MYOM1",2.35759542124029e-10,-0.487289490330635,0.119,0.3,6.12880505705625e-06
"PIP5K1A",2.5290313741213e-10,0.689517316194252,0.569,0.419,6.57446996016573e-06
"NCOR2",2.57302471184357e-10,0.88825762802552,0.52,0.383,6.68883504090853e-06
"MED15",2.72248307160368e-10,0.661064589820677,0.426,0.267,7.07736699294092e-06
"TSHZ2",2.73859151937896e-10,-0.6915583489467,0.208,0.399,7.11924251377755e-06
"MALRD1",2.78472084807449e-10,-0.583405877601328,0.143,0.317,7.23916031665445e-06
"AC008991.1",2.89810891321917e-10,-0.347953794013893,0.003,0.107,7.53392393080455e-06
"LIFR",3.0163500626346e-10,-0.523849877014861,0.305,0.511,7.84130362282491e-06
"RGS17",3.17739544955171e-10,0.841434178478623,0.415,0.262,8.25995721065463e-06
"PRUNE2",3.1869635476862e-10,-0.398293391781492,0.342,0.563,8.28483043856505e-06
"CACHD1",3.24669169494538e-10,-0.49940657434564,0.181,0.374,8.44009973018e-06
"GPR158",3.41149736244375e-10,0.907963256751156,0.52,0.354,8.86852854340877e-06
"SMS",3.51406150242727e-10,0.625544296857848,0.235,0.092,9.13515428170994e-06
"SPSB1",3.65517141508037e-10,0.799311647034995,0.237,0.097,9.50198361064294e-06
"FNDC3A",3.73663280582065e-10,0.785109675386152,0.666,0.579,9.71375064201136e-06
"LRFN2",3.78194101727038e-10,-0.492504665539562,0.137,0.321,9.83153386849608e-06
"WWTR1",3.79250381406446e-10,0.90788393792452,0.251,0.106,9.85899291504196e-06
"DPYSL3",4.26532439715435e-10,0.874074059878978,0.536,0.395,1.10881373028425e-05
"IL6R",4.35983199818305e-10,0.530143246857343,0.208,0.073,1.13338192624767e-05
"PLPPR5",4.65354363077185e-10,-0.411775181676677,0.224,0.435,1.20973520225545e-05
"MT-CO2",4.70596340645798e-10,-0.415659173806478,0.701,0.887,1.22336224714282e-05
"ZNF280D",4.72701807069135e-10,-0.445189026007812,0.251,0.461,1.22883561765692e-05
"COL11A1",4.84942802805459e-10,-0.425586960661309,0.617,0.823,1.26065731017307e-05
"ZNF483",4.94215931817584e-10,-0.537528615799909,0.156,0.338,1.28476373635299e-05
"MMP16",5.01603959237903e-10,-0.320367667510173,0.822,0.925,1.30396965243485e-05
"LHFPL4",5.02011241546124e-10,-0.402691557776642,0.094,0.265,1.3050284235233e-05
"KLHL7",5.08088590253733e-10,-0.472654211891343,0.27,0.473,1.32082709922361e-05
"APOL2",5.13650200582747e-10,0.790284108026473,0.218,0.083,1.33528506143491e-05
"SNTG1",5.60004480708052e-10,-0.445461386603274,0.852,0.986,1.45578764804865e-05
"ZFHX4",6.0039027164709e-10,-0.441583424317345,0.464,0.657,1.56077455017377e-05
"DDB2",6.55070532350188e-10,0.589937693179126,0.173,0.052,1.70292135589755e-05
"PPP1R9A",6.94816514775034e-10,-0.366170023835433,0.744,0.886,1.80624501180918e-05
"RBM6",6.96625621941224e-10,0.508105622857321,0.757,0.678,1.81094796679841e-05
"MAP3K1",7.45443160680942e-10,-0.537317031485566,0.332,0.544,1.93785404050618e-05
"GALR1",7.55818168728093e-10,0.71436263979661,0.585,0.452,1.96482491142555e-05
"KY",8.50715545993648e-10,-0.404258381794494,0.04,0.173,2.21152013336509e-05
"TLN2",8.90384855352132e-10,-0.511679720991487,0.372,0.568,2.3146444699734e-05
"LINC02588",9.35135506803579e-10,-0.529911611884432,0.35,0.567,2.43097826348658e-05
"ZFP36L2",9.37880031923158e-10,0.678098141073392,0.288,0.139,2.43811293098744e-05
"SPRED3",1.02837364141423e-09,0.398641327102184,0.216,0.078,2.67336011822043e-05
"NTRK3",1.04543343407468e-09,-0.369259623267614,0.741,0.851,2.71770875522054e-05
"ADD3",1.05087199642875e-09,-0.506726446334409,0.407,0.62,2.73184684191619e-05
"MYRIP",1.11661426939411e-09,-0.531702820683463,0.221,0.406,2.90275045471693e-05
"FNDC3B",1.13935608876457e-09,0.77514974942336,0.62,0.48,2.96187008835238e-05
"NTNG1",1.18639303020693e-09,-0.488340515406905,0.585,0.789,3.08414732132594e-05
"MYH9",1.21328581385041e-09,0.538059014012315,0.175,0.055,3.15405780168553e-05
"SLC35F3",1.25398604195198e-09,-0.674167199113949,0.261,0.445,3.25986211465837e-05
"HLA-B",1.39433899346839e-09,0.393380424313494,0.14,0.035,3.62472364742042e-05
"SNAP91",1.44577021067795e-09,-0.561111201510228,0.447,0.634,3.75842423967841e-05
"BPTF",1.44853813847956e-09,-0.412550719709146,0.69,0.849,3.76561974479146e-05
"FER",1.4525650249678e-09,-0.450195625437776,0.534,0.721,3.77608803890629e-05
"HLF",1.45354370862862e-09,-0.393100454809138,0.035,0.163,3.77863222495096e-05
"PHLPP1",1.52638824885279e-09,-0.370279653738653,0.687,0.854,3.96799889171771e-05
"DOCK10",1.60017444389426e-09,-0.399873710722605,0.674,0.828,4.15981348434752e-05
"TSPYL2",1.65488296514388e-09,-0.66379666851518,0.143,0.315,4.30203375618802e-05
"DACH2",1.70047083142992e-09,-0.895157342398939,0.078,0.222,4.42054397338523e-05
"SUPT3H",1.78852535707908e-09,-0.515608111585473,0.407,0.605,4.64945051826277e-05
"PTPN4",1.9800475095045e-09,-0.4212666677378,0.404,0.608,5.14733150570791e-05
"GPM6A",1.98943155210217e-09,-0.349635679215118,0.854,0.931,5.17172626284481e-05
"CEP85L",2.02897603528766e-09,-0.457213986171461,0.396,0.591,5.27452610133379e-05
"KIAA1211",2.04205125447427e-09,-0.418619544676484,0.407,0.607,5.30851644113132e-05
"LINC02055",2.12983497295332e-09,-0.758057913190128,0.019,0.13,5.53671899568945e-05
"NAMPT",2.13918441934255e-09,0.713534567702109,0.243,0.104,5.5610238165229e-05
"KAZN",2.19917041989912e-09,-0.369260115376707,0.876,0.967,5.71696342356974e-05
"SFXN5",2.2704345614468e-09,0.715629252728162,0.318,0.166,5.9022216859371e-05
"UPP2",2.38080471117513e-09,-0.529398427112572,0.175,0.355,6.18913992717087e-05
"ATF4",2.38918394785862e-09,0.446903151904184,0.197,0.069,6.21092259085327e-05
"FP671120.1",2.40489636400172e-09,1.31151891298253,0.644,0.563,6.25176858785888e-05
"BABAM2",2.41218492222606e-09,-0.48518445007139,0.456,0.643,6.27071592381887e-05
"AGAP2",2.41841738287218e-09,0.358082338346462,0.143,0.036,6.28691782851452e-05
"RICTOR",2.56433659808428e-09,-0.482156480962534,0.418,0.589,6.6662494203799e-05
"CCSER1",2.61323517803675e-09,-0.669481507180745,0.396,0.57,6.79336616882435e-05
"PNISR",2.8137487130005e-09,-0.407498173460495,0.631,0.815,7.31462115431609e-05
"MYCBP2",2.82439077330385e-09,-0.465244446851923,0.671,0.823,7.34228625428069e-05
"DPYD",2.89928937920467e-09,0.731098326760629,0.364,0.203,7.53699267018047e-05
"CMIP",2.92606563450459e-09,0.706551283059331,0.539,0.407,7.60660022345813e-05
"SVIL",3.00088253351994e-09,0.760769412893501,0.302,0.153,7.80109423413843e-05
"RNPC3",3.11734300402303e-09,-0.424678375345048,0.275,0.477,8.10384487325828e-05
"AFAP1",3.19523201837855e-09,0.785252503960591,0.598,0.501,8.30632515497687e-05
"C2CD2",3.23435133071599e-09,0.584595030137649,0.199,0.075,8.40801971932929e-05
"MTSS1",3.38982499205363e-09,-0.468456698138845,0.609,0.776,8.81218904934261e-05
"FANCL",3.48689044176756e-09,-0.537807234356895,0.191,0.366,9.06452039241894e-05
"LAMB1",3.52482073123454e-09,0.507141525945028,0.1,0.016,9.1631239729173e-05
"AGMO",3.53704993872123e-09,-0.518702669631236,0.043,0.168,9.1949150206997e-05
"NRG3",3.64809008214034e-09,-0.348082394570096,0.817,0.91,9.48357497753204e-05
"MAP4",3.7197647451908e-09,0.690793514915456,0.563,0.463,9.669900431598e-05
"PCSK2",3.95513895302702e-09,-0.517327602925414,0.046,0.173,0.00010281779222289
"SCN3A",4.08047681813798e-09,-0.400632231357195,0.456,0.688,0.000106076075364315
"HDAC9",4.10812094673369e-09,-0.672420016228712,0.326,0.501,0.000106794712131289
"SLC24A4",4.23865542106316e-09,-0.443731444279846,0.03,0.147,0.000110188086325958
"SLC4A4",4.30753004678079e-09,-0.368886225534735,0.143,0.319,0.000111978551096113
"PRIMA1",4.30982435435539e-09,0.47116526726028,0.154,0.045,0.000112038193915823
"SPTBN5",4.35449902709582e-09,0.291626974836645,0.124,0.028,0.000113199556708383
"SORL1",4.38260928425195e-09,-0.410242161077436,0.216,0.407,0.000113930310953414
"SRGAP3",4.55580414634756e-09,-0.421259639990531,0.407,0.626,0.000118432684588451
"ITPKC",4.73871217382055e-09,0.782441981652374,0.318,0.17,0.000123187561670639
"PHLDB1",4.9140669646517e-09,0.674040457238273,0.582,0.49,0.000127746084813086
"HLA-A",5.1471259700957e-09,0.463514978554849,0.173,0.057,0.000133804686718608
"SLC22A3",5.34780202813473e-09,-0.483197066090902,0.046,0.172,0.00013902146152339
"SH3BGRL",5.45994254514761e-09,-0.491801299699049,0.243,0.423,0.000141936666403657
"FOXN2",5.62292561703897e-09,-0.481808856989631,0.272,0.458,0.000146173574340545
"AKAP9",5.85419983388823e-09,-0.37774268226615,0.512,0.726,0.000152185778881758
"SCN9A",6.27752478462751e-09,-0.459841316736007,0.348,0.541,0.000163190534301177
"GATAD2B",6.5226009823174e-09,0.68751510960664,0.59,0.48,0.000169561535136323
"HSPA8",6.71501545528201e-09,-0.379566870210467,0.054,0.189,0.000174563541775511
"TET3",6.75735536137546e-09,1.19082169714386,0.41,0.272,0.000175664209974317
"RAB28",6.92026433862982e-09,-0.480949083121735,0.24,0.421,0.000179899191747021
"CPEB4",7.16626908528154e-09,-0.422720248294097,0.571,0.752,0.000186294331140979
"CSRNP3",7.20024457955502e-09,-0.445565408111034,0.453,0.662,0.000187177558090112
"ELMO1",7.36088653929445e-09,-0.397436310690498,0.375,0.572,0.000191353606475499
"TTTY10",7.56467125471196e-09,-0.462201198754225,0.081,0.222,0.000196651193937492
