"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PCDH10",6.3175075504697e-51,-0.415219444753682,0.173,0.408,1.6422992628201e-46
"LARGE1",7.89978284864487e-51,0.589829707397525,0.891,0.872,2.05362754933372e-46
"PPP1R9A",1.07222708758253e-50,-0.446208475003856,0.532,0.779,2.78736153687954e-46
"SAMD12",1.46204301410927e-50,-0.494251173768534,0.702,0.886,3.80072701947846e-46
"GOLIM4",1.46604526885351e-50,-0.495376419601837,0.164,0.386,3.81113128091159e-46
"KLHL5",2.06627660153816e-50,-0.583054884741373,0.41,0.635,5.37149265335859e-46
"CELF1",2.21996012845762e-50,0.636130046077639,0.778,0.722,5.77100834993842e-46
"NTRK2",2.48361490715015e-50,-0.282619505468857,0.858,0.944,6.45640531262754e-46
"ZNF91",3.03689472914779e-50,-0.486816031771862,0.601,0.828,7.8947115378926e-46
"TMEM65",3.55964363680544e-50,-0.401569223283246,0.291,0.551,9.25364959823942e-46
"PLCB1",4.56102348398344e-50,-0.428311201464094,0.924,0.985,1.18568366489634e-45
"PEBP1",5.44308755443927e-50,-0.332152353184469,0.217,0.469,1.41498504065203e-45
"AC115622.1",5.9860927133743e-50,-0.321996960146697,0.058,0.232,1.55614466176878e-45
"CHN1",7.36917271912673e-50,-0.431198299964871,0.253,0.495,1.91569014006419e-45
"RBM6",7.88186895307281e-50,0.593554125727651,0.847,0.798,2.04897065304081e-45
"CCDC7",1.38195235234843e-49,-0.424058147817108,0.358,0.614,3.59252333516497e-45
"PPIP5K2",1.46741783085714e-49,-0.515636090304829,0.455,0.691,3.81469939309623e-45
"NXPH1",1.94129642305738e-49,-0.671531815094704,0.542,0.725,5.04659418137996e-45
"VMA21",2.21521186563456e-49,-0.26590604938312,0.065,0.25,5.75866476590361e-45
"AC087457.1",3.21169515410748e-49,-0.320713167792133,0.126,0.333,8.34912272261781e-45
"ASPH",3.45125158638557e-49,-0.409704609992181,0.339,0.598,8.97187362396792e-45
"FHIT",3.62209655160189e-49,-0.603752798698558,0.574,0.771,9.41600219554426e-45
"GLRB",5.08583420679593e-49,-0.38855985832805,0.283,0.528,1.32211346039867e-44
"TENM1",7.30427636478062e-49,-0.684636707996741,0.47,0.692,1.89881968378837e-44
"DCX",1.16085526365121e-48,-0.36021684067593,0.299,0.551,3.0177593433877e-44
"CCDC148",1.23769211383814e-48,-0.344583407100033,0.201,0.439,3.21750441913362e-44
"PPARG",1.28564125477883e-48,-0.440605479073094,0.217,0.451,3.34215300592306e-44
"KIAA0825",1.32317261642241e-48,-0.51214985645813,0.486,0.717,3.43971953365169e-44
"SHPRH",1.68165821676318e-48,-0.468872699660106,0.447,0.71,4.37163870029755e-44
"BBS9",1.72644297384997e-48,-0.459302072845147,0.402,0.653,4.48806115482037e-44
"DNM3",1.94896201540274e-48,-0.326097409689222,0.805,0.932,5.06652165524097e-44
"LRRC4C",2.03776463300229e-48,-0.742707474055124,0.744,0.861,5.29737293995274e-44
"RGS5",2.10845590432258e-48,-0.386123074364381,0.07,0.246,5.48114196887697e-44
"PLXNC1",2.86964032302632e-48,-0.323036533858665,0.214,0.458,7.45991698373921e-44
"PPFIA2",3.17204065113118e-48,-0.446956377178277,0.776,0.926,8.24603687668062e-44
"TARBP1",3.61696429340458e-48,-0.444655690376308,0.45,0.689,9.40266037713456e-44
"ENOX1",3.88746135181367e-48,-0.543430017665759,0.734,0.878,1.01058445301748e-43
"DPP10",4.00568012190746e-48,-1.41270955774994,0.576,0.745,1.04131660449106e-43
"MTR",5.02137402010179e-48,-0.376359001891981,0.398,0.642,1.30535639026566e-43
"KANSL1L",7.54808942272659e-48,-0.464903725578502,0.413,0.654,1.962201326332e-43
"PTPRM",1.02751404381784e-47,-0.561206976731826,0.674,0.827,2.67112550830885e-43
"GUCY1B1",1.11284016072271e-47,-0.328712713545627,0.226,0.468,2.89293928181477e-43
"TCF4",1.24090768021727e-47,-0.35443567538009,0.897,0.984,3.22586360549281e-43
"CACNA1G",1.83247202884569e-47,0.676726207144575,0.353,0.165,4.76369428618727e-43
"AC024901.1",2.24092207163598e-47,-0.486967484398211,0.334,0.582,5.82550101742488e-43
"PPP1R13B",2.38730573791813e-47,0.690894638390062,0.753,0.669,6.20603999629198e-43
"UNC5C",2.79288456935545e-47,-0.604753398400441,0.532,0.759,7.26038272649644e-43
"ZC3H13",2.81311976963418e-47,-0.456378464719092,0.496,0.751,7.31298615314101e-43
"CNTNAP3B",5.11398270100045e-47,-0.677695729149393,0.282,0.505,1.32943094295208e-42
"TCAIM",6.09261688022155e-47,-0.383991553718403,0.332,0.588,1.5838366841824e-42
"PAPOLA",6.54960299313347e-47,-0.395210251682708,0.364,0.611,1.70263479409498e-42
"RNF13",7.60771243668856e-47,-0.361754018798266,0.296,0.543,1.97770092504156e-42
"MYO9B",8.1430566681217e-47,0.839327140695118,0.602,0.474,2.11686901144492e-42
"UNC5D",1.39992022100955e-46,-0.653717536404228,0.619,0.798,3.63923260653642e-42
"KCND3",1.50015011195565e-46,0.831200356031761,0.753,0.687,3.8997902310399e-42
"DOK6",1.69862684883859e-46,-0.55477744823371,0.556,0.78,4.41575035624079e-42
"MPDZ",1.74987809760123e-46,-0.505024797314011,0.606,0.809,4.54898310252416e-42
"PCDH9",1.786943745168e-46,-0.504207126625548,0.806,0.944,4.64533895993873e-42
"RASGRF2",2.45830548004504e-46,-0.570351784851654,0.547,0.751,6.39061092592509e-42
"NUBPL",2.50180402614958e-46,-0.433397158463103,0.33,0.566,6.50368974637844e-42
"SPSB1",2.62616442127691e-46,0.439643126472907,0.158,0.019,6.82697702955145e-42
"METTL15",2.94731497286097e-46,-0.385297786655392,0.318,0.561,7.66184000344937e-42
"PTEN",3.01100119603294e-46,-0.417491655015438,0.427,0.663,7.82739870920722e-42
"SGSM1",4.48214858394786e-46,0.891714857694542,0.721,0.648,1.16517934588308e-41
"FTX",5.52050561914286e-46,-0.337842675340161,0.942,0.99,1.43511064075238e-41
"TBC1D4",6.10332322767112e-46,-0.431989448089638,0.366,0.614,1.58661990626538e-41
"ZDHHC21",1.15199292468979e-45,-0.421735748925827,0.449,0.693,2.99472080702358e-41
"RNF146",1.62389833157574e-45,-0.338013264781818,0.209,0.439,4.22148610276429e-41
"AF165147.1",2.95733793302103e-45,-0.321817922179064,0.083,0.264,7.68789569068147e-41
"PTPN4",3.13146316318157e-45,-0.414988008963886,0.537,0.78,8.1405516390068e-41
"NT5DC1",3.44950048972685e-45,-0.354688700477683,0.181,0.399,8.96732147309391e-41
"ERCC6L2",3.84255981381763e-45,-0.442064312779009,0.44,0.684,9.98911849200031e-41
"NDFIP2",5.26012589297822e-45,-0.296272738374246,0.149,0.357,1.36742232713862e-40
"ZBTB41",5.42749411372017e-45,-0.267912411287582,0.137,0.344,1.41093136980269e-40
"PAK5",5.83586559149399e-45,-0.471538439378482,0.488,0.716,1.51709161916478e-40
"PURG",6.862045549154e-45,-0.328295231929202,0.258,0.493,1.78385736095807e-40
"HLF",7.34093534061938e-45,-0.294479016879959,0.101,0.292,1.90834955114741e-40
"PNOC",8.0105388957595e-45,0.850783475170987,0.278,0.102,2.08241969134164e-40
"NARS2",9.56774007968044e-45,-0.310364841233922,0.186,0.405,2.48722971111373e-40
"BCKDHB",9.94454169840181e-45,-0.433774687250316,0.268,0.495,2.58518305991653e-40
"XIST",1.0847427722461e-44,1.0227440256588,0.121,0.003,2.81989731073095e-40
"LMO3",1.34457841229084e-44,-0.455801754527875,0.132,0.329,3.49536604059127e-40
"TMEM106B",1.92876900633868e-44,-0.328032188089795,0.232,0.462,5.01402790887804e-40
"LANCL1",2.14524304901586e-44,-0.445411015029437,0.358,0.586,5.57677383022163e-40
"PHF3",2.3016014699657e-44,-0.386726591167323,0.469,0.711,5.98324318132284e-40
"ANKRD34C-AS1",2.82217245683919e-44,-0.474299830663954,0.189,0.404,7.33651951879915e-40
"MIR181A1HG",2.92709354248031e-44,-0.485052633418714,0.325,0.566,7.60927237303182e-40
"AMMECR1",2.93007191255408e-44,-0.450251008661708,0.316,0.542,7.6170149438756e-40
"MAN1A2",4.0581042105317e-44,-0.500338073158991,0.602,0.814,1.05494477056982e-39
"RGS7BP",4.25337452027485e-44,-0.415699711307364,0.391,0.627,1.10570724029065e-39
"EPM2AIP1",4.36904183390162e-44,-0.306623570586862,0.212,0.444,1.13577611514106e-39
"SCN2A",4.52058178969104e-44,-0.433196661832421,0.717,0.899,1.17517044204808e-39
"KCNH7",5.191477273204e-44,-0.565647065984547,0.541,0.774,1.34957643194211e-39
"VGF",6.83319899176958e-44,0.870274603830717,0.235,0.07,1.77635840990042e-39
"ZNF280D",7.34491245696203e-44,-0.382015564644051,0.298,0.539,1.90938344231185e-39
"IRAK1BP1",1.29401097579782e-43,-0.376063792047433,0.306,0.545,3.363910932684e-39
"AKAP9",1.76230445170421e-43,-0.467342367513579,0.711,0.895,4.58128665265027e-39
"CNTN5",1.85014694459874e-43,-0.492722637202121,0.73,0.867,4.80964199717889e-39
"MACF1",2.20521252291808e-43,0.493197951960505,0.949,0.952,5.73267047457784e-39
"DPH6-DT",2.55321090816539e-43,-0.488664845287622,0.175,0.379,6.63732707686675e-39
"SYNPO2",2.58758008133702e-43,-0.287395897927064,0.088,0.269,6.72667317944372e-39
"KIAA1551",3.89516042023371e-43,-0.318358606460404,0.21,0.439,1.01258590284396e-38
"SLC24A2",4.34097712556281e-43,-0.566493627924686,0.561,0.776,1.12848041356131e-38
"SNTG1",5.07367606660979e-43,-0.532540454309988,0.821,0.926,1.31895283027588e-38
"EPHA6",5.99508025826531e-43,-0.800928296743859,0.662,0.811,1.55848106393865e-38
"PRKG1",1.42671837567251e-42,-0.808659574739375,0.402,0.595,3.70889708939826e-38
"NDST3",2.09672740998089e-42,-0.582441137423725,0.281,0.497,5.45065257498631e-38
"IGSF9B",2.15850122171169e-42,0.907285715386021,0.448,0.279,5.61123977596172e-38
"FAAP100",2.35636718524007e-42,0.693413736328072,0.233,0.073,6.12561213475009e-38
"MEF2C",2.96729675535078e-42,-0.47159850679824,0.739,0.889,7.71378464520989e-38
"FBXL4",4.16599982603266e-42,-0.326512148113256,0.229,0.451,1.08299331477545e-37
"FAM172A",4.78426626175271e-42,-0.402651041910564,0.63,0.837,1.24371785740523e-37
"CMSS1",5.16833822056506e-42,-0.424529325066498,0.429,0.676,1.34356120381809e-37
"PTPRD",6.05914006803404e-42,-0.457936179189678,0.826,0.927,1.57513405208613e-37
"ZNF609",6.07327370054728e-42,0.65324660549913,0.755,0.72,1.57880823119427e-37
"CHSY3",8.72251447586203e-42,-0.521872944490471,0.499,0.748,2.26750486314509e-37
"SESN1",9.86402119790023e-42,-0.376215929119418,0.353,0.592,2.56425095060614e-37
"SLC24A3",1.2640429080373e-41,0.748082246674583,0.738,0.656,3.28600594373376e-37
"LMBRD2",1.55374456656305e-41,-0.276129856083589,0.221,0.447,4.0391143752373e-37
"GOLGB1",1.72635166767633e-41,-0.420981866703366,0.492,0.727,4.48782379529139e-37
"SH3BGRL",1.83143677509396e-41,-0.431782673884691,0.33,0.556,4.76100304053425e-37
"OXCT1",2.32990170223608e-41,-0.349359070406105,0.28,0.5,6.05681246513291e-37
"PKIA",2.73946689459199e-41,-0.292388945905676,0.191,0.409,7.12151813918133e-37
"RBBP6",2.75038364711706e-41,-0.437769821042244,0.358,0.596,7.1498973290455e-37
"NECTIN3",2.88913605029182e-41,-0.309807233121445,0.197,0.415,7.51059807633862e-37
"PKD1",2.90447794574417e-41,0.707636496160718,0.641,0.553,7.55048086775654e-37
"CMC1",3.15555399799901e-41,-0.352473081040843,0.218,0.423,8.20317817319823e-37
"BABAM2",3.56428451641575e-41,-0.414380634051326,0.566,0.796,9.26571402887439e-37
"FANCL",4.4910314221562e-41,-0.38459098753351,0.2,0.412,1.16748852850373e-36
"UMAD1",4.85962426371299e-41,-0.432278699247686,0.453,0.676,1.26330792359483e-36
"RFX3-AS1",5.03086420375163e-41,-0.364639925114329,0.151,0.345,1.30782345840727e-36
"KHDRBS2",5.23261575736033e-41,-0.6683327594447,0.687,0.842,1.36027079228339e-36
"NEGR1",7.22029554853321e-41,-0.412885576997491,0.804,0.937,1.87698803079669e-36
"ELAVL4",8.98692858132443e-41,-0.353197165422769,0.361,0.588,2.3362419540011e-36
"FAM217B",9.99699208756648e-41,-0.271362597994556,0.097,0.273,2.59881806308378e-36
"DLGAP4",1.31212621627532e-40,0.686743730192205,0.766,0.72,3.41100331182931e-36
"VPS50",1.81282184561723e-40,-0.326314867135631,0.358,0.597,4.71261166986655e-36
"NMNAT3",2.02852976720785e-40,-0.39011096905274,0.139,0.327,5.27336598283353e-36
"STAMBPL1",2.68489926515003e-40,-0.306442999548871,0.159,0.353,6.97966412968402e-36
"BLCAP",2.69337691883886e-40,-0.299453420651663,0.179,0.387,7.00170263821351e-36
"PEX3",2.78255520300771e-40,-0.306638696348007,0.239,0.449,7.23353050573886e-36
"ANKRD18A",3.21443415576507e-40,-0.345926408638348,0.135,0.326,8.35624303132688e-36
"TACR1",3.75051621618396e-40,-0.321872840013516,0.146,0.347,9.74984195559183e-36
"SCLT1",3.82401982768442e-40,-0.435423326766568,0.418,0.65,9.94092194404842e-36
"MYEF2",3.92833641601568e-40,-0.347966899062193,0.416,0.65,1.02121033470744e-35
