"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"N4BP2L1",4.18248397762665e-12,-0.587846848204117,0.126,0.357,1.08727853482382e-07
"AF117829.1",4.49700023538539e-12,-0.651710481497095,0.276,0.524,1.16904018119079e-07
"NAIP",4.63889928145483e-12,-0.564497524872148,0.197,0.438,1.205928257207e-07
"ST5",4.6512009349974e-12,0.818371221345144,0.567,0.404,1.20912619506192e-07
"ENTPD3-AS1",5.05854717645782e-12,-0.573888337564676,0.091,0.304,1.31501992399198e-07
"KIAA1614",5.50598903221794e-12,-0.497591391996704,0.02,0.202,1.43133690881538e-07
"NCKAP5",5.6335230318812e-12,-0.600905526683158,0.445,0.711,1.46449064736784e-07
"AC125613.1",6.02866258651701e-12,-0.58769190393167,0.079,0.288,1.56721112599096e-07
"FAM173B",6.09630211834392e-12,-0.459649354711056,0.043,0.243,1.58479469868468e-07
"SLC22A23",6.62505366665001e-12,0.815913926383834,0.555,0.388,1.72224895118234e-07
"PTPN9",6.71660452886947e-12,0.707253626085426,0.795,0.702,1.74604851332491e-07
"MBNL1",6.95304799583314e-12,-0.503728585778309,0.52,0.742,1.80751435699678e-07
"TMTC2",7.08862243353526e-12,-0.47744993869183,0.598,0.831,1.84275828782183e-07
"ZNF521",7.16133836253209e-12,-0.569810086873945,0.256,0.512,1.86166152072384e-07
"SH3BGR",7.17633759415881e-12,-0.503744852261627,0.063,0.264,1.86556072097753e-07
"MRAS",7.33138013919927e-12,-0.648206474738698,0.299,0.533,1.90586558098624e-07
"FTX",7.50469446312785e-12,-0.453436503664873,0.803,0.92,1.95092037263472e-07
"ARHGAP39",8.21771155767156e-12,-0.545339693355292,0.209,0.454,2.1362762965323e-07
"FAM89A",9.15441659929967e-12,0.402734157226325,0.102,0.017,2.37978213915394e-07
"ATG4C",9.80734875747084e-12,-0.633074260061825,0.126,0.343,2.54951838299212e-07
"ZIC1",1.0224958680077e-11,-0.843387585947751,0.106,0.307,2.65808025847281e-07
"ZFPM2",1.12088537861102e-11,-0.581124250864293,0.205,0.449,2.91385363023722e-07
"CDK17",1.12291328006768e-11,0.819178594956755,0.445,0.273,2.91912536286394e-07
"NLGN1",1.12790324755607e-11,0.904182631895617,0.358,0.184,2.93209728234677e-07
"RALGPS1",1.19286959096297e-11,-0.62683179744111,0.311,0.547,3.10098378866735e-07
"FAM85B",1.19744765371903e-11,-0.498419910949847,0.291,0.546,3.11288492060799e-07
"VMP1",1.28961427578987e-11,0.91352436129961,0.441,0.274,3.35248127134334e-07
"MAP7",1.29800153229428e-11,-0.667425340609866,0.374,0.601,3.37428478335222e-07
"EPS15L1",1.36235852728805e-11,-0.517052456278512,0.35,0.608,3.54158722753801e-07
"PTH1R",1.51837765339965e-11,-0.49327359299695,0.047,0.238,3.94717454777773e-07
"TTPA",1.59359750127463e-11,-0.490683116769238,0.047,0.24,4.14271606431352e-07
"SLC1A2",1.60609125722179e-11,-0.655702412797192,0.945,0.995,4.17519483227377e-07
"RPS28",1.66590721643264e-11,0.423963565800403,0.11,0.021,4.33069239983829e-07
"AGBL4",1.75309582109659e-11,-0.618865346913422,0.484,0.7,4.55734789652269e-07
"THRB",1.77617184843278e-11,-0.643037944842688,0.291,0.525,4.61733633718585e-07
"RPLP0",1.90465075058559e-11,0.405130892467459,0.13,0.029,4.95133009122229e-07
"CACNA1C",1.91206676454579e-11,-0.538412940863239,0.421,0.661,4.97060876111325e-07
"CREM",2.00395587786219e-11,1.00233432153548,0.409,0.245,5.20948370009054e-07
"CASC2",2.16235675951026e-11,-0.66921809914038,0.169,0.39,5.62126263202287e-07
"CNTNAP3",2.29213069067590e-11,-0.627543679692758,0.315,0.542,5.95862294348108e-07
"SULF2",2.30193341615161e-11,0.623146867902986,0.142,0.036,5.98410610862773e-07
"PLEKHA6",2.3875824385975e-11,-0.708708576494023,0.256,0.481,6.20675930737806e-07
"SLC1A3",2.52959370032397e-11,0.524398091933135,0.976,0.998,6.57593178336218e-07
"MT-ND1",2.54502644687947e-11,-0.467172264892397,0.535,0.804,6.61605075130786e-07
"ELAVL3",2.58533087618101e-11,-0.450741682732155,0.098,0.32,6.72082614572015e-07
"RHBDD1",2.60735385343318e-11,-0.579291419809201,0.189,0.416,6.7780770773849e-07
"AC099792.1",2.64565730431329e-11,-0.577124838195493,0.28,0.534,6.87765072829283e-07
"MID1",2.77817888438326e-11,-0.623236597037674,0.24,0.462,7.22215382784273e-07
"SPATA6L",2.81347234132429e-11,-0.668241534709898,0.106,0.31,7.31390269850663e-07
"PPM1K",2.81877645818937e-11,-0.540060692554833,0.217,0.448,7.32769128070909e-07
"ATP6V0B",2.95424456312394e-11,0.648063811732619,0.161,0.047,7.67985416629699e-07
"FOXJ3",3.00321599665617e-11,0.799119562623717,0.543,0.391,7.80716030490739e-07
"H3F3B",3.0512734530066e-11,0.887545960582406,0.283,0.13,7.93209046843594e-07
"RAVER2",3.06146219231909e-11,-0.522279416469451,0.189,0.429,7.95857711515271e-07
"ARMH1",3.1269143898405e-11,-0.580072429825404,0.287,0.527,8.12872664782937e-07
"OSBPL6",3.24157660662374e-11,0.797633053056383,0.669,0.597,8.42680254657906e-07
"SLC39A12",3.33151227293304e-11,-0.562796772762432,0.327,0.585,8.66059930471673e-07
"ABCD2",3.34648319138565e-11,-0.513633534970045,0.13,0.35,8.69951770432614e-07
"UBB",3.45217594886837e-11,0.740126600446863,0.154,0.044,8.97427659667823e-07
"HSPA5",3.52465057163123e-11,1.14665795442422,0.276,0.129,9.16268162601255e-07
